incident_code;description_incident;district_code;district_name;neighbourhood_code;neighbourhood_name;year;number_incidents
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;7;la Dreta de l'Eixample;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;64;el Camp de l'Arpa del Clot;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;68;el Poblenou;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;5;Sarrià-Sant Gervasi;24;les Tres Torres;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;10;Sant Antoni;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;68;el Poblenou;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;1;el Raval;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;59;el Bon Pastor;2021;9
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;48;la Guineueta;2021;5
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;18;Sants;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;73;la Verneda i la Pau;2021;5
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;37;el Carmel;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;36;la Font d'en Fargues;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;2021;5
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;6;la Sagrada Família;2021;6
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;45;Porta;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;71;Provençals del Poblenou;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;50;les Roquetes;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;3;la Barceloneta;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;70;el Besòs i el Maresme;2021;1
