year;district_code;district_name;neighborhood_code;neighborhood_code2;Sex;academic_level;number
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Primary studies / school certificate;1416
2022;2;Eixample;5;el Fort Pienc;Women;Primary studies / school certificate;1830
2022;2;Eixample;6;la Sagrada Família;Women;Primary studies / school certificate;3235
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Primary studies / school certificate;1578
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Primary studies / school certificate;1711
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Primary studies / school certificate;2987
2022;2;Eixample;10;Sant Antoni;Women;Primary studies / school certificate;2531
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Primary studies / school certificate;3441
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Primary studies / school certificate;209
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Primary studies / school certificate;3595
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Primary studies / school certificate;838
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Primary studies / school certificate;1238
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Primary studies / school certificate;1732
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Primary studies / school certificate;2287
2022;3;Sants-Montjuïc;18;Sants;Women;Primary studies / school certificate;3113
2022;4;Les Corts;19;les Corts;Women;Primary studies / school certificate;2314
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Primary studies / school certificate;1505
2022;4;Les Corts;21;Pedralbes;Women;Primary studies / school certificate;353
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Primary studies / school certificate;183
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Primary studies / school certificate;778
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Primary studies / school certificate;350
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Primary studies / school certificate;676
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Primary studies / school certificate;1250
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Primary studies / school certificate;812
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Primary studies / school certificate;803
2022;6;Gràcia;29;el Coll;Women;Primary studies / school certificate;529
2022;6;Gràcia;30;la Salut;Women;Primary studies / school certificate;664
2022;6;Gràcia;31;la Vila de Gràcia;Women;Primary studies / school certificate;2538
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Primary studies / school certificate;1872
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Primary studies / school certificate;1793
2022;7;Horta-Guinardó;34;Can Baró;Women;Primary studies / school certificate;698
2022;7;Horta-Guinardó;35;el Guinardó;Women;Primary studies / school certificate;2493
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Primary studies / school certificate;597
2022;7;Horta-Guinardó;37;el Carmel;Women;Primary studies / school certificate;3596
2022;7;Horta-Guinardó;38;la Teixonera;Women;Primary studies / school certificate;1220
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Primary studies / school certificate;665
2022;7;Horta-Guinardó;40;Montbau;Women;Primary studies / school certificate;394
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Primary studies / school certificate;467
2022;7;Horta-Guinardó;42;la Clota;Women;Primary studies / school certificate;39
2022;7;Horta-Guinardó;43;Horta;Women;Primary studies / school certificate;2504
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Primary studies / school certificate;2363
2022;8;Nou Barris;45;Porta;Women;Primary studies / school certificate;2934
2022;8;Nou Barris;46;el Turó de la Peira;Women;Primary studies / school certificate;1753
2022;8;Nou Barris;47;Can Peguera;Women;Primary studies / school certificate;315
2022;8;Nou Barris;48;la Guineueta;Women;Primary studies / school certificate;1618
2022;8;Nou Barris;49;Canyelles;Women;Primary studies / school certificate;907
2022;8;Nou Barris;50;les Roquetes;Women;Primary studies / school certificate;2087
2022;8;Nou Barris;51;Verdun;Women;Primary studies / school certificate;1557
2022;8;Nou Barris;52;la Prosperitat;Women;Primary studies / school certificate;3226
2022;8;Nou Barris;53;la Trinitat Nova;Women;Primary studies / school certificate;954
2022;8;Nou Barris;54;Torre Baró;Women;Primary studies / school certificate;389
2022;8;Nou Barris;55;Ciutat Meridiana;Women;Primary studies / school certificate;1561
2022;8;Nou Barris;56;Vallbona;Women;Primary studies / school certificate;201
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Primary studies / school certificate;1272
2022;9;Sant Andreu;58;Baró de Viver;Women;Primary studies / school certificate;375
2022;9;Sant Andreu;59;el Bon Pastor;Women;Primary studies / school certificate;1467
2022;9;Sant Andreu;60;Sant Andreu;Women;Primary studies / school certificate;4644
2022;9;Sant Andreu;61;la Sagrera;Women;Primary studies / school certificate;2498
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Primary studies / school certificate;1069
2022;9;Sant Andreu;63;Navas;Women;Primary studies / school certificate;1762
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Primary studies / school certificate;2767
2022;10;Sant Martí;65;el Clot;Women;Primary studies / school certificate;2017
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Primary studies / school certificate;1034
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Primary studies / school certificate;240
2022;10;Sant Martí;68;el Poblenou;Women;Primary studies / school certificate;2087
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Primary studies / school certificate;727
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Primary studies / school certificate;2822
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Primary studies / school certificate;1713
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Primary studies / school certificate;2691
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Primary studies / school certificate;3418
2022;1;Ciutat Vella;1;el Raval;Women;University studies;5604
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;University studies;3399
2022;1;Ciutat Vella;3;la Barceloneta;Women;University studies;2272
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;University studies;4762
2022;2;Eixample;5;el Fort Pienc;Women;University studies;6773
2022;2;Eixample;6;la Sagrada Família;Women;University studies;10452
2022;2;Eixample;7;la Dreta de l'Eixample;Women;University studies;11551
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;University studies;10422
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;University studies;12667
2022;2;Eixample;10;Sant Antoni;Women;University studies;7366
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;University studies;5881
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;University studies;101
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;University studies;2625
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;University studies;1659
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;University studies;2658
2022;3;Sants-Montjuïc;16;la Bordeta;Women;University studies;2687
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;University studies;3528
2022;3;Sants-Montjuïc;18;Sants;Women;University studies;7350
2022;4;Les Corts;19;les Corts;Women;University studies;9742
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;University studies;4547
2022;4;Les Corts;21;Pedralbes;Women;University studies;2677
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;University studies;936
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;University studies;5764
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;University studies;3888
