"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,8,"Nou Barris",49,"Canyelles","2 persones","574"
2022,8,"Nou Barris",50,"les Roquetes","2 persones","741"
2022,8,"Nou Barris",51,"Verdun","2 persones","616"
2022,8,"Nou Barris",52,"la Prosperitat","2 persones","1720"
2022,8,"Nou Barris",53,"la Trinitat Nova","2 persones","237"
2022,8,"Nou Barris",54,"Torre Baró","2 persones","79"
2022,8,"Nou Barris",55,"Ciutat Meridiana","2 persones","474"
2022,8,"Nou Barris",56,"Vallbona","2 persones","44"
2022,9,"Sant Andreu",57,"la Trinitat Vella","2 persones","397"
2022,9,"Sant Andreu",58,"Baró de Viver","2 persones","85"
2022,9,"Sant Andreu",59,"el Bon Pastor","2 persones","535"
2022,9,"Sant Andreu",60,"Sant Andreu","2 persones","3669"
2022,9,"Sant Andreu",61,"la Sagrera","2 persones","2025"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","2 persones","728"
2022,9,"Sant Andreu",63,"Navas","2 persones","1368"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","2 persones","2244"
2022,10,"Sant Martí",65,"el Clot","2 persones","1507"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","2 persones","802"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","2 persones","456"
2022,10,"Sant Martí",68,"el Poblenou","2 persones","1356"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","2 persones","556"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","2 persones","976"
2022,10,"Sant Martí",71,"Provençals del Poblenou","2 persones","1002"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","2 persones","1711"
2022,10,"Sant Martí",73,"la Verneda i la Pau","2 persones","2086"
2022,1,"Ciutat Vella",1,"el Raval","3 persones","42"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","3 persones","15"
2022,1,"Ciutat Vella",3,"la Barceloneta","3 persones","9"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","3 persones","19"
2022,2,"Eixample",5,"el Fort Pienc","3 persones","38"
2022,2,"Eixample",6,"la Sagrada Família","3 persones","68"
2022,2,"Eixample",7,"la Dreta de l'Eixample","3 persones","68"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","3 persones","61"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","3 persones","75"
2022,2,"Eixample",10,"Sant Antoni","3 persones","58"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","3 persones","42"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","3 persones","0"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","3 persones","37"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","3 persones","9"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","3 persones","21"
2022,3,"Sants-Montjuïc",16,"la Bordeta","3 persones","25"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","3 persones","32"
2022,3,"Sants-Montjuïc",18,"Sants","3 persones","58"
2022,4,"Les Corts",19,"les Corts","3 persones","90"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","3 persones","40"
2022,4,"Les Corts",21,"Pedralbes","3 persones","21"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","3 persones","4"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","3 persones","25"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","3 persones","18"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","3 persones","39"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","3 persones","69"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","3 persones","32"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","3 persones","35"
2022,6,"Gràcia",29,"el Coll","3 persones","12"
2022,6,"Gràcia",30,"la Salut","3 persones","14"
2022,6,"Gràcia",31,"la Vila de Gràcia","3 persones","54"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","3 persones","51"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","3 persones","40"
2022,7,"Horta-Guinardó",34,"Can Baró","3 persones","10"
2022,7,"Horta-Guinardó",35,"el Guinardó","3 persones","45"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","3 persones","20"
2022,7,"Horta-Guinardó",37,"el Carmel","3 persones","26"
2022,7,"Horta-Guinardó",38,"la Teixonera","3 persones","13"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","3 persones","9"
2022,7,"Horta-Guinardó",40,"Montbau","3 persones","7"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","3 persones","10"
2022,7,"Horta-Guinardó",42,"la Clota","3 persones","0"
2022,7,"Horta-Guinardó",43,"Horta","3 persones","34"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","3 persones","54"
2022,8,"Nou Barris",45,"Porta","3 persones","32"
2022,8,"Nou Barris",46,"el Turó de la Peira","3 persones","13"
2022,8,"Nou Barris",47,"Can Peguera","3 persones","1"
