"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Castella i Lleó","61"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Castella-la Manxa","22"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Comunitat Valenciana","46"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Extremadura","22"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Galícia","79"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Comunitat de Madrid","41"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Regió de Múrcia","13"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Comunitat Foral de Navarra","5"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","País Basc","24"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Rioja, La","5"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Ceuta","5"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Melilla","6"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Estranger","3596"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Barcelona ciutat","3231"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Resta Catalunya","612"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","272"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Aragó","129"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Principat d'Astúries","40"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Illes Balears","29"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Canàries","7"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Cantàbria","12"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Castella i Lleó","152"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Castella-la Manxa","74"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Comunitat Valenciana","122"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Extremadura","54"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Galícia","214"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Comunitat de Madrid","86"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Regió de Múrcia","36"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Comunitat Foral de Navarra","22"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","País Basc","60"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Rioja, La","12"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Ceuta","8"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Melilla","13"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Estranger","6047"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Barcelona ciutat","3304"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Resta Catalunya","555"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Andalusia","264"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Aragó","81"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Principat d'Astúries","34"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Illes Balears","27"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Canàries","18"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Cantàbria","19"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Castella i Lleó","104"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Castella-la Manxa","59"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Comunitat Valenciana","97"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Extremadura","43"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Galícia","143"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Comunitat de Madrid","94"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Regió de Múrcia","31"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Comunitat Foral de Navarra","18"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","País Basc","71"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Rioja, La","7"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Ceuta","7"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Melilla","4"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Estranger","6206"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Barcelona ciutat","7410"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Resta Catalunya","1285"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","483"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Aragó","340"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Principat d'Astúries","50"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Illes Balears","34"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Canàries","26"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Cantàbria","38"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Castella i Lleó","465"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Castella-la Manxa","149"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Comunitat Valenciana","246"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Extremadura","110"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Galícia","214"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Comunitat de Madrid","182"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Regió de Múrcia","61"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Comunitat Foral de Navarra","50"
2022,2,"Eixample",5,"el Fort Pienc","Dones","País Basc","107"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Rioja, La","39"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Ceuta","4"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Melilla","10"
2022,2,"Eixample",5,"el Fort Pienc","Dones","Estranger","6116"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Barcelona ciutat","7069"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Resta Catalunya","1132"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Andalusia","344"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Aragó","217"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Principat d'Astúries","62"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Illes Balears","36"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Canàries","29"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Cantàbria","27"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Castella i Lleó","276"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Castella-la Manxa","109"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Comunitat Valenciana","210"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Extremadura","80"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Galícia","179"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Comunitat de Madrid","167"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Regió de Múrcia","53"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Comunitat Foral de Navarra","35"
2022,2,"Eixample",5,"el Fort Pienc","Homes","País Basc","89"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Rioja, La","34"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Ceuta","3"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Melilla","8"
2022,2,"Eixample",5,"el Fort Pienc","Homes","Estranger","5867"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Barcelona ciutat","12245"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Resta Catalunya","2064"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","813"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Aragó","679"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Principat d'Astúries","91"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Illes Balears","61"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Canàries","38"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Cantàbria","36"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Castella i Lleó","723"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Castella-la Manxa","256"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Comunitat Valenciana","373"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Extremadura","172"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Galícia","416"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Comunitat de Madrid","244"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Regió de Múrcia","110"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Comunitat Foral de Navarra","70"
2022,2,"Eixample",6,"la Sagrada Família","Dones","País Basc","118"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Rioja, La","45"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Ceuta","7"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Melilla","26"
2022,2,"Eixample",6,"la Sagrada Família","Dones","Estranger","9198"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Barcelona ciutat","11155"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Resta Catalunya","1698"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Andalusia","572"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Aragó","410"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Principat d'Astúries","63"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Illes Balears","42"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Canàries","44"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Cantàbria","25"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Castella i Lleó","402"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Castella-la Manxa","194"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Comunitat Valenciana","246"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Extremadura","145"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Galícia","260"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Comunitat de Madrid","172"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Regió de Múrcia","86"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Comunitat Foral de Navarra","42"
2022,2,"Eixample",6,"la Sagrada Família","Homes","País Basc","135"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Rioja, La","34"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Ceuta","10"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Melilla","17"
2022,2,"Eixample",6,"la Sagrada Família","Homes","Estranger","7865"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Barcelona ciutat","10556"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Resta Catalunya","2025"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","480"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Aragó","398"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Principat d'Astúries","66"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Illes Balears","69"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Canàries","23"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Cantàbria","47"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Castella i Lleó","396"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Castella-la Manxa","115"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Comunitat Valenciana","292"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Extremadura","85"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Galícia","260"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Comunitat de Madrid","264"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Regió de Múrcia","62"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Comunitat Foral de Navarra","69"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","País Basc","156"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Rioja, La","41"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Ceuta","4"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Melilla","17"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Estranger","8008"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Barcelona ciutat","9850"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Resta Catalunya","1571"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Andalusia","368"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Aragó","206"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Principat d'Astúries","51"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Illes Balears","59"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Canàries","40"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Cantàbria","26"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Castella i Lleó","256"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Castella-la Manxa","95"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Comunitat Valenciana","203"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Extremadura","65"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Galícia","165"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Comunitat de Madrid","237"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Regió de Múrcia","58"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Comunitat Foral de Navarra","31"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","País Basc","122"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Rioja, La","26"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Ceuta","9"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Melilla","9"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Estranger","7276"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Barcelona ciutat","10024"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Resta Catalunya","1971"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","514"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Aragó","371"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Principat d'Astúries","84"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Illes Balears","74"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Canàries","32"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Cantàbria","55"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Castella i Lleó","420"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Castella-la Manxa","104"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Comunitat Valenciana","314"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Extremadura","96"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Galícia","307"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Comunitat de Madrid","233"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Regió de Múrcia","66"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Comunitat Foral de Navarra","86"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","País Basc","149"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Rioja, La","38"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Ceuta","5"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Melilla","13"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Estranger","7494"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Barcelona ciutat","9186"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Resta Catalunya","1671"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Andalusia","399"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Aragó","214"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Principat d'Astúries","62"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Illes Balears","71"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Canàries","40"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Cantàbria","41"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Castella i Lleó","233"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Castella-la Manxa","86"
