"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap persona de 18 a 64 anys","2387"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap persona de 18 a 64 anys","4581"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap persona de 18 a 64 anys","2879"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","Cap persona de 18 a 64 anys","1596"
2022,6,"Gràcia",29,"el Coll","Cap persona de 18 a 64 anys","658"
2022,6,"Gràcia",30,"la Salut","Cap persona de 18 a 64 anys","1458"
2022,6,"Gràcia",31,"la Vila de Gràcia","Cap persona de 18 a 64 anys","4353"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap persona de 18 a 64 anys","3824"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap persona de 18 a 64 anys","2699"
2022,7,"Horta-Guinardó",34,"Can Baró","Cap persona de 18 a 64 anys","857"
2022,7,"Horta-Guinardó",35,"el Guinardó","Cap persona de 18 a 64 anys","3661"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap persona de 18 a 64 anys","957"
2022,7,"Horta-Guinardó",37,"el Carmel","Cap persona de 18 a 64 anys","3083"
2022,7,"Horta-Guinardó",38,"la Teixonera","Cap persona de 18 a 64 anys","1083"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap persona de 18 a 64 anys","765"
2022,7,"Horta-Guinardó",40,"Montbau","Cap persona de 18 a 64 anys","512"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap persona de 18 a 64 anys","700"
2022,7,"Horta-Guinardó",42,"la Clota","Cap persona de 18 a 64 anys","34"
2022,7,"Horta-Guinardó",43,"Horta","Cap persona de 18 a 64 anys","2853"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap persona de 18 a 64 anys","2890"
2022,8,"Nou Barris",45,"Porta","Cap persona de 18 a 64 anys","2752"
2022,8,"Nou Barris",46,"el Turó de la Peira","Cap persona de 18 a 64 anys","1464"
2022,8,"Nou Barris",47,"Can Peguera","Cap persona de 18 a 64 anys","196"
2022,8,"Nou Barris",48,"la Guineueta","Cap persona de 18 a 64 anys","1946"
2022,8,"Nou Barris",49,"Canyelles","Cap persona de 18 a 64 anys","880"
2022,8,"Nou Barris",50,"les Roquetes","Cap persona de 18 a 64 anys","1226"
2022,8,"Nou Barris",51,"Verdun","Cap persona de 18 a 64 anys","1253"
2022,8,"Nou Barris",52,"la Prosperitat","Cap persona de 18 a 64 anys","2997"
2022,8,"Nou Barris",53,"la Trinitat Nova","Cap persona de 18 a 64 anys","575"
2022,8,"Nou Barris",54,"Torre Baró","Cap persona de 18 a 64 anys","120"
2022,8,"Nou Barris",55,"Ciutat Meridiana","Cap persona de 18 a 64 anys","758"
2022,8,"Nou Barris",56,"Vallbona","Cap persona de 18 a 64 anys","61"
2022,9,"Sant Andreu",57,"la Trinitat Vella","Cap persona de 18 a 64 anys","615"
2022,9,"Sant Andreu",58,"Baró de Viver","Cap persona de 18 a 64 anys","183"
2022,9,"Sant Andreu",59,"el Bon Pastor","Cap persona de 18 a 64 anys","882"
2022,9,"Sant Andreu",60,"Sant Andreu","Cap persona de 18 a 64 anys","5888"
2022,9,"Sant Andreu",61,"la Sagrera","Cap persona de 18 a 64 anys","3182"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","Cap persona de 18 a 64 anys","1395"
2022,9,"Sant Andreu",63,"Navas","Cap persona de 18 a 64 anys","2422"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap persona de 18 a 64 anys","4042"
2022,10,"Sant Martí",65,"el Clot","Cap persona de 18 a 64 anys","2432"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap persona de 18 a 64 anys","1421"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap persona de 18 a 64 anys","639"
