year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;10;Sant Martí;68;el Poblenou;9782
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;3932
2022;10;Sant Martí;70;el Besòs i el Maresme;5387
2022;10;Sant Martí;71;Provençals del Poblenou;5540
2022;10;Sant Martí;72;Sant Martí de Provençals;5882
2022;10;Sant Martí;73;la Verneda i la Pau;6242
2022;1;Ciutat Vella;1;el Raval;3153
2022;1;Ciutat Vella;2;el Barri Gòtic;1176
2022;1;Ciutat Vella;3;la Barceloneta;1441
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;1807
2022;2;Eixample;5;el Fort Pienc;3258
2022;2;Eixample;6;la Sagrada Família;5562
2022;2;Eixample;7;la Dreta de l'Eixample;4464
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;4522
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;6455
2022;2;Eixample;10;Sant Antoni;4116
2022;3;Sants-Montjuïc;11;el Poble Sec;3484
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;146
2022;3;Sants-Montjuïc;13;la Marina de Port;3118
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;1102
2022;3;Sants-Montjuïc;15;Hostafrancs;1453
2022;3;Sants-Montjuïc;16;la Bordeta;1925
2022;3;Sants-Montjuïc;17;Sants - Badal;2502
2022;3;Sants-Montjuïc;18;Sants;4124
2022;4;Les Corts;19;les Corts;5245
2022;4;Les Corts;20;la Maternitat i Sant Ramon;2654
2022;4;Les Corts;21;Pedralbes;1207
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;344
2022;5;Sarrià-Sant Gervasi;23;Sarrià;2239
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;1460
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;2552
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;5172
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;3086
2022;6;Gràcia;28;Vallcarca i els Penitents;1698
