year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;6;Gràcia;29;el Coll;1021
2022;7;Horta-Guinardó;37;el Carmel;1019
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;1014
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;1004
2022;10;Sant Martí;71;Provençals del Poblenou;974
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;970
2022;4;Les Corts;20;la Maternitat i Sant Ramon;965
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;958
2022;7;Horta-Guinardó;36;la Font d'en Fargues;957
2022;9;Sant Andreu;57;la Trinitat Vella;939
2022;6;Gràcia;29;el Coll;938
2022;10;Sant Martí;68;el Poblenou;924
2022;8;Nou Barris;55;Ciutat Meridiana;922
2022;9;Sant Andreu;61;la Sagrera;919
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;918
2022;10;Sant Martí;73;la Verneda i la Pau;909
2022;5;Sarrià-Sant Gervasi;23;Sarrià;903
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;901
2022;1;Ciutat Vella;2;el Barri Gòtic;889
2022;10;Sant Martí;70;el Besòs i el Maresme;885
2022;9;Sant Andreu;59;el Bon Pastor;882
2022;8;Nou Barris;49;Canyelles;880
2022;8;Nou Barris;53;la Trinitat Nova;878
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;876
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;870
2022;10;Sant Martí;65;el Clot;864
2022;7;Horta-Guinardó;34;Can Baró;857
2022;3;Sants-Montjuïc;16;la Bordeta;830
2022;8;Nou Barris;46;el Turó de la Peira;822
2022;8;Nou Barris;50;les Roquetes;821
2022;8;Nou Barris;53;la Trinitat Nova;817
2022;8;Nou Barris;52;la Prosperitat;817
2022;3;Sants-Montjuïc;17;Sants - Badal;809
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;804
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;798
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;790
2022;10;Sant Martí;72;Sant Martí de Provençals;784
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;783
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;765
2022;8;Nou Barris;55;Ciutat Meridiana;758
2022;3;Sants-Montjuïc;15;Hostafrancs;746
2022;7;Horta-Guinardó;33;el Baix Guinardó;746
2022;5;Sarrià-Sant Gervasi;23;Sarrià;741
2022;8;Nou Barris;49;Canyelles;736
2022;7;Horta-Guinardó;43;Horta;719
2022;8;Nou Barris;49;Canyelles;717
2022;1;Ciutat Vella;2;el Barri Gòtic;711
2022;8;Nou Barris;45;Porta;708
2022;7;Horta-Guinardó;41;la Vall d'Hebron;700
2022;9;Sant Andreu;63;Navas;697
2022;7;Horta-Guinardó;41;la Vall d'Hebron;694
2022;4;Les Corts;20;la Maternitat i Sant Ramon;681
