layer_code;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district_code;neighbourhood_code;district_name;neighbourhood_name
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.992.942;4.587.775.458;430.901.007;4.587.574.472;2.172.906;41.436.769;Llucmajor (Pi i Molist)-;8;48;Nou Barris;la Guineueta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;423.489.146;4.579.673.451;423.397.278;4.579.472.542;2.084.124;41.363.118;Sant Ildefons (Mercat Sant Ildefons)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.080.554;4.582.426.139;428.988.635;4.582.225.203;2.150.645;41.388.423;Hospital Clínic (Rosselló)-;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.981.016;4.581.571.722;430.889.079;4.581.370.794;2.173.471;41.380.893;Liceu (La Rambla / Teatre Liceu)-;1;1;Ciutat Vella;el Raval
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.756.421;4.589.115.048;432664.47;4.588.914.049;2.193.862;41.448.984;METRO (L1) - Trinitat Vella-;9;57;Sant Andreu;la Trinitat Vella
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.188.153;4.582.012.669;430.096.224;4.581.811.737;2.163.939;41.384.796;METRO (L2) - Universitat-;2;10;Eixample;Sant Antoni
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;424.225.178;4.575.131.252;424.133.302;4.574.930.385;209.349;41.322.279;METRO (L9S) - Cèntric-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.155.968;4.585.482.356;432.064.021;4.585.281.391;2.187.083;41.416.215;METRO (L1) - Navas-;9;63;Sant Andreu;Navas
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.447.673;4.586.528.032;428.355.761;4.586.327.058;2.142.591;41.425.311;METRO (L3) - Vall d'Hebron-;7;40;Horta-Guinardó;Montbau
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.876.862;4.583.250.319;429.784.936;4.583.049.375;2.160.073;41.395.916;METRO (L3) - Diagonal-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.963.106;4.580.996.682;428.871.188;4580795.76;2.149.409;41.375.538;METRO (L1) - Espanya-;2;9;Eixample;la Nova Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.782.478;4.584.492.053;431.690.535;4.584.291.097;2.182.726;41.407.264;METRO (L2) - Encants-;10;64;Sant Martí;el Camp de l'Arpa del Clot
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.580.549;4.585.339.213;434488.58;4.585.138.249;2.216.108;41.415.127;METRO (L4) - Besòs Mar-;10;70;Sant Martí;el Besòs i el Maresme
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);426.477.889;4.583.649.008;426.385.994;4.583.448.062;211.937;41.399.203;FGC - REINA ELISENDA-;5;23;Sarrià-Sant Gervasi;Sarrià
K003;Transports i serveis relacionats;RENFE;432.115.901;4.586.339.891;432.023.955;4.586.138.918;2.186.507;41.423.935;RENFE - LA SAGRERA - MERIDIANA-;9;61;Sant Andreu;la Sagrera
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.581.159;4.585.049.126;428.489.245;4.584.848.166;2.144.363;41.412.003;METRO (L3) - Vallcarca-;6;28;Gràcia;Vallcarca i els Penitents
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;426.213.197;4.580.234.316;426.121.304;4.580.033.401;2.116.621;41.368.424;METRO (L1) - Torrassa-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);427.464.321;4.579.393.075;427.372.416;4.579.192.168;213.168;41.360.962;FGC - ILDEFONS CERDÀ-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);423.696.607;4.578.548.962;423.604.736;4.578.348.064;2.086.746;41.353.011;FGC - ALMEDA-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);429242.29;4.583.714.245;429150.37;4.583.513.297;2.152.429;41.400.039;FGC - GRÀCIA (Pl. de Gal·la Placídia)-;6;31;Gràcia;la Vila de Gràcia
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);426.274.529;4.578.783.125;426.182.635;4.578.582.224;2.117.531;4.135.536;FGC - GORNAL-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);430.499.451;4.582.153.888;430.407.519;4.581.952.954;2.167.646;41.386.095;FGC - CATALUNYA (C. de Bergara)-;2;7;Eixample;la Dreta de l'Eixample
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);429.671.428;4.582.968.673;429.579.504;4.582.767.732;2.157.649;41.393.362;FGC - PROVENÇA (C. del Rossellò)-;2;7;Eixample;la Dreta de l'Eixample
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.479.622;4584065.28;428.387.709;4.583.864.329;2.143.265;41.403.133;FGC - PADUA-;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);425.097.115;4.579.065.424;425.005.232;4.578.864.521;2.103.422;41.357.794;FGC - L'HOSPITALET-AV. CARRILET-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.473.536;4.583.567.057;428.381.623;4.583.366.111;2.143.251;41.398.645;FGC - MUNTANER-;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427044.36;4.582.428.391;426952.46;4.582.227.456;2.126.293;41.388.261;Maria Cristina (Av. Diagonal / Doctor Ferran)-;4;21;Les Corts;Pedralbes
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.405.451;4.581.998.184;427.313.547;4.581.797.253;2.130.663;41.384.419;Les Corts (Joan Güell)-;4;19;Les Corts;les Corts
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.749.239;4590288.33;433.657.279;4590087.32;2.205.618;41.459.634;Singuerlín (Passatge de Salvatella)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.089.601;4.586.046.054;428.997.683;4.585.845.085;2.150.329;41.421.027;El Coll | La Teixonera (Passeig Mare de Déu del Coll)-;7;37;Horta-Guinardó;el Carmel
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);425.791.861;4.579.444.362;425.699.971;4.579.243.455;211.168;41.361.271;FGC - SANT JOSEP-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.103.892;4.588.576.685;434.011.928;4.588.375.691;2.210.051;41.444.247;Can Peixauet (Avinguda Banús Baixa)-;;;;
