layer_code ;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district;neighborhood;district_name;neighborhood_name
K015;Transports i serveis relacionats;Autobusos nocturns;43446449;4585342004;434372522;458514104;2214719;41415143;NITBUS -N6--;10;70;Sant Martí;el Besòs i el Maresme
K015;Transports i serveis relacionats;Autobusos nocturns;43166016;4581519378;431568217;458131845;2181599;4138048;NITBUS -N0-N6--;1;2;Ciutat Vella;el Barri Gòtic
K014;Transports i serveis relacionats;Autobusos diürns;431558903;4581370335;431466961;4581169408;2180405;41379129;BUS -59-D20-H14-V13--;1;2;Ciutat Vella;el Barri Gòtic
K014;Transports i serveis relacionats;Autobusos diürns;433132525;4586069882;43304057;4585868911;2198702;41421589;BUS -V29--;10;72;Sant Martí;Sant Martí de Provençals
K015;Transports i serveis relacionats;Autobusos nocturns;432238627;4589401631;432146681;458920063;2187632;41451521;NITBUS -N1--;8;53;Nou Barris;la Trinitat Nova
K014;Transports i serveis relacionats;Autobusos diürns;430853177;4584608746;430761242;458440779;2171595;41408236;BUS -19-V21--;2;6;Eixample;la Sagrada Família
K014;Transports i serveis relacionats;Autobusos diürns;42865121;4582355909;428559295;4582154974;2145519;41387753;BUS -54-141--;2;9;Eixample;la Nova Esquerra de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;430651276;4582694434;430559342;4582493495;21694;41390977;BUS -39-47-B24-V17--;2;7;Eixample;la Dreta de l'Eixample
K015;Transports i serveis relacionats;Autobusos nocturns;430939991;4582607403;430848055;4582406465;2172863;41390218;NITBUS -N15--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;430064855;458822167;429972928;458802068;2161746;41440707;BUS -27-60-76-185-H4-M19--;7;43;Horta-Guinardó;Horta
K015;Transports i serveis relacionats;Autobusos nocturns;430064855;458822167;429972928;458802068;2161746;41440707;NITBUS -N4--;7;43;Horta-Guinardó;Horta
K014;Transports i serveis relacionats;Autobusos diürns;430995479;4586627226;430903543;4586426251;2173067;41426428;BUS -19-V25--;8;44;Nou Barris;Vilapicina i la Torre Llobeta
K015;Transports i serveis relacionats;Autobusos nocturns;430614019;458675101;430522087;4586550034;2168488;41427509;NITBUS -N4--;8;44;Nou Barris;Vilapicina i la Torre Llobeta
K015;Transports i serveis relacionats;Autobusos nocturns;428808464;4580966499;428716547;4580765577;2147563;41375253;NITBUS -N14-N2-N28--;3;15;Sants-Montjuïc;Hostafrancs
K015;Transports i serveis relacionats;Autobusos nocturns;427880143;4579932452;427788234;457973154;2136586;41365857;NITBUS -N1-N15-N16-N17-N18--;3;16;Sants-Montjuïc;la Bordeta
K014;Transports i serveis relacionats;Autobusos diürns;430711908;4586056917;430619975;4585855947;2169739;41421267;BUS -117-V23--;7;35;Horta-Guinardó;el Guinardó
K014;Transports i serveis relacionats;Autobusos diürns;430180211;4587432133;430088283;4587231151;2163218;41433606;BUS -V27-H2--;7;43;Horta-Guinardó;Horta
K014;Transports i serveis relacionats;Autobusos diürns;432008301;4586734657;431916356;4586533681;2185175;41427482;BUS -62-96-V29--;9;61;Sant Andreu;la Sagrera
K014;Transports i serveis relacionats;Autobusos diürns;428480949;458616879;428389036;458596782;2143032;41422078;BUS -19-H2--;7;38;Horta-Guinardó;la Teixonera
K014;Transports i serveis relacionats;Autobusos diürns;428894252;4580862288;428802334;4580661367;2148601;41374322;BUS -46-65-79-91-109-165-CJ-H12-H16--;3;11;Sants-Montjuïc;el Poble-sec
K014;Transports i serveis relacionats;Autobusos diürns;428751238;4580955737;428659321;4580754815;214688;41375151;BUS -D20-52--;3;15;Sants-Montjuïc;Hostafrancs
K015;Transports i serveis relacionats;Autobusos nocturns;427966582;4579540437;427874672;4579339528;2137666;41362334;NITBUS -N1--;3;13;Sants-Montjuïc;la Marina de Port
K015;Transports i serveis relacionats;Autobusos nocturns;42811099;4580116797;428019079;4579915883;2139324;41367538;NITBUS -N1-N13-N15-N16-N17-N18--;3;13;Sants-Montjuïc;la Marina de Port
K014;Transports i serveis relacionats;Autobusos diürns;428003209;4584064739;4279113;4583863788;2137566;41403086;BUS -V13--;5;25;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova
K014;Transports i serveis relacionats;Autobusos diürns;430302022;4585349602;430210092;4585148639;2164916;41414861;BUS -39-D40-191--;7;34;Horta-Guinardó;Can Baró
K015;Transports i serveis relacionats;Autobusos nocturns;431587222;4590591012;431495282;4590390;2179699;41462178;NITBUS -N3--;8;55;Nou Barris;Ciutat Meridiana
K014;Transports i serveis relacionats;Autobusos diürns;43173363;4590431743;431641689;4590230732;218147;41460756;BUS -62-96-97-104--;8;54;Nou Barris;Torre Baró
K014;Transports i serveis relacionats;Autobusos diürns;432378017;4585727713;432286068;4585526746;2189712;41418444;BUS -126-V27--;9;61;Sant Andreu;la Sagrera
K014;Transports i serveis relacionats;Autobusos diürns;430038984;4586013987;429947057;4585813018;2161692;41420822;BUS -119--;7;37;Horta-Guinardó;el Carmel
K015;Transports i serveis relacionats;Autobusos nocturns;429951971;4584588436;429860044;458438748;2160817;41407975;NITBUS -N6--;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova
K015;Transports i serveis relacionats;Autobusos nocturns;431278586;4588181604;431186648;4587980614;2176278;41440451;NITBUS -N1--;8;51;Nou Barris;Verdun
K014;Transports i serveis relacionats;Autobusos diürns;430053418;4586002855;429961491;4585801886;2161866;41420723;BUS -22-119--;7;37;Horta-Guinardó;el Carmel
K014;Transports i serveis relacionats;Autobusos diürns;425765885;4582048826;425673996;4581847895;211105;41384726;BUS -33-113-V1-175--;4;21;Les Corts;Pedralbes
K014;Transports i serveis relacionats;Autobusos diürns;430638829;4582468721;430546896;4582267784;2169277;41388943;BUS -22-V15--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;430731988;4588030381;430640055;4587829393;2169753;41439042;BUS -47-76-H4-H2-M19-182--;8;48;Nou Barris;la Guineueta
K015;Transports i serveis relacionats;Autobusos nocturns;430731988;4588030381;430640055;4587829393;2169753;41439042;NITBUS -N6--;8;48;Nou Barris;la Guineueta
K015;Transports i serveis relacionats;Autobusos nocturns;425814511;4581995811;425722622;458179488;2111638;41384253;NITBUS -N12--;4;20;Les Corts;la Maternitat i Sant Ramon
K015;Transports i serveis relacionats;Autobusos nocturns;430498758;4582606185;430406826;4582405247;2167586;41390169;NITBUS -N4-N5-N6-N9--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;429416288;4581488714;429324366;4581287787;215477;4138001;BUS -141--;2;9;Eixample;la Nova Esquerra de l'Eixample
K015;Transports i serveis relacionats;Autobusos nocturns;432118131;4586506016;432026185;4586305042;2186515;41425432;NITBUS -N3--;9;61;Sant Andreu;la Sagrera
K015;Transports i serveis relacionats;Autobusos nocturns;433414764;4583038102;433322805;4582837159;2202413;41394306;NITBUS -N28--;10;68;Sant Martí;el Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;428565838;4579981397;428473923;4579780484;2144778;41366359;BUS -23-150--;3;11;Sants-Montjuïc;el Poble-sec
K015;Transports i serveis relacionats;Autobusos nocturns;431779549;4589120828;431687607;458891983;2182168;41448953;NITBUS -N1-N6--;8;53;Nou Barris;la Trinitat Nova
K014;Transports i serveis relacionats;Autobusos diürns;431176551;4581228179;431084612;4581027254;2175849;41377816;BUS -59-V13--;1;1;Ciutat Vella;el Raval
K015;Transports i serveis relacionats;Autobusos nocturns;429870298;4584967281;429778372;4584766322;2159796;4141138;NITBUS -N0-N6--;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova
K015;Transports i serveis relacionats;Autobusos nocturns;432621517;4587409522;432529567;4587208539;2192438;41433612;NITBUS -N9--;9;60;Sant Andreu;Sant Andreu
K014;Transports i serveis relacionats;Autobusos diürns;432008678;4586863668;431916733;458666269;2185165;41428644;BUS -11-34-H6--;9;61;Sant Andreu;la Sagrera
K014;Transports i serveis relacionats;Autobusos diürns;432134631;4581446635;432042683;4581245707;2187281;41379865;BUS -47-59-D20-V15-V19--;1;3;Ciutat Vella;la Barceloneta
K014;Transports i serveis relacionats;Autobusos diürns;428854108;4582062684;428762191;4581861752;214798;4138513;BUS -141--;2;9;Eixample;la Nova Esquerra de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;429319174;4582719861;429227253;4582518922;2153465;4139109;BUS -54-68-V13--;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K015;Transports i serveis relacionats;Autobusos nocturns;430659229;4582206498;430567295;4582005564;2169551;41386583;NITBUS -N11-N9--;2;7;Eixample;la Dreta de l'Eixample
K015;Transports i serveis relacionats;Autobusos nocturns;433306325;4583682062;433214367;4583481113;2201045;41400097;NITBUS -N6--;10;68;Sant Martí;el Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;432238624;4580834786;432146675;4580633864;2188593;41374363;BUS -V15-V19--;1;3;Ciutat Vella;la Barceloneta
K014;Transports i serveis relacionats;Autobusos diürns;433536519;45856981;43344456;4585497133;2203577;41418274;BUS -V29--;10;73;Sant Martí;la Verneda i la Pau
K015;Transports i serveis relacionats;Autobusos nocturns;429340797;4587389215;429248877;4587188233;2153177;41433146;NITBUS -N4--;7;43;Horta-Guinardó;Horta
