year;trimester;district_name;neighbourhood_name;average _rent;price
2020;4;Nou Barris;Vilapicina i la Torre Llobeta;average rent per surface (euro/m2);11. Jul
2020;4;Nou Barris;Porta;average rent per surface (euro/m2);12
2020;4;Nou Barris;el Turo de la Peira;average rent per surface (euro/m2);11. Apr
2020;4;Nou Barris;la Guineueta;average rent per surface (euro/m2);10. Jul
2020;4;Nou Barris;Canyelles;average rent per surface (euro/m2);09. Mai
2020;4;Nou Barris;les Roquetes;average rent per surface (euro/m2);11. Jun
2020;4;Nou Barris;Verdun;average rent per surface (euro/m2);12. Feb
2020;4;Nou Barris;la Prosperitat;average rent per surface (euro/m2);12. Jan
2020;4;Nou Barris;la Trinitat Nova;average rent per surface (euro/m2);11. Sep
2020;4;Nou Barris;Ciutat Meridiana;average rent per surface (euro/m2);08. Aug
2020;4;Sant Andreu;la Trinitat Vella;average rent per surface (euro/m2);10. Sep
2020;4;Sant Andreu;el Bon Pastor;average rent per surface (euro/m2);10. Jul
2020;4;Sant Andreu;Sant Andreu;average rent per surface (euro/m2);12. Mär
2020;4;Sant Andreu;la Sagrera;average rent per surface (euro/m2);12. Mär
2020;4;Sant Andreu;el Congres i els Indians;average rent per surface (euro/m2);12. Jun
2020;4;Sant Andreu;Navas;average rent per surface (euro/m2);12. Mai
2020;4;Sant Marti;el Camp de l'Arpa del Clot;average rent per surface (euro/m2);12. Sep
2020;4;Sant Marti;el Clot;average rent per surface (euro/m2);13. Jan
2020;4;Sant Marti;el Parc i la Llacuna del Poblenou;average rent per surface (euro/m2);13. Aug
2020;4;Sant Marti;la Vila Olimpica del Poblenou;average rent per surface (euro/m2);16. Aug
2020;4;Sant Marti;el Poblenou;average rent per surface (euro/m2);14. Mai
2020;4;Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;average rent per surface (euro/m2);17. Mai
2020;4;Sant Marti;el Besos i el Maresme;average rent per surface (euro/m2);11. Jul
2020;4;Sant Marti;Provencals del Poblenou;average rent per surface (euro/m2);12. Jun
2020;4;Sant Marti;Sant Mart√≠ide Provencals;average rent per surface (euro/m2);11. Aug
2020;4;Sant Marti;la Verneda i la Pau;average rent per surface (euro/m2);11. Jun
2021;1;Ciutat Vella;el Raval;average rent (euro/month);759.2
2021;1;Ciutat Vella;Gothic Quarter;average rent (euro/month);929.6
2021;1;Ciutat Vella;la Barceloneta;average rent (euro/month);808.9
2021;1;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent (euro/month);879.4
2021;1;Eixample;Fort Pienc;average rent (euro/month);918
2021;1;Eixample;la Sagrada Familia;average rent (euro/month);887.1
2021;1;Eixample;la Dreta de l'Eixample;average rent (euro/month);1176.7
2021;1;Eixample;l'Antiga Esquerra de l'Eixample;average rent (euro/month);1040.2
2021;1;Eixample;la Nova Esquerra de l'Eixample;average rent (euro/month);964
2021;1;Eixample;Sant Antoni;average rent (euro/month);898.7
2021;1;Sants-Montjuic;el Poble Sec;average rent (euro/month);781.6
2021;1;Sants-Montjuic;la Marina de Port;average rent (euro/month);810.6
2021;1;Sants-Montjuic;la Font de la Guatlla;average rent (euro/month);799.5
2021;1;Sants-Montjuic;Hostafrancs;average rent (euro/month);778.4
2021;1;Sants-Montjuic;la Bordeta;average rent (euro/month);807.6
2021;1;Sants-Montjuic;Sants - Badal;average rent (euro/month);788.1
2021;1;Sants-Montjuic;Sants;average rent (euro/month);829.1
2021;1;Les Corts;les Corts;average rent (euro/month);990.3
2021;1;Les Corts;la Maternitat i Sant Ramon;average rent (euro/month);927.3
2021;1;Les Corts;Pedralbes;average rent (euro/month);1598.2
