register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿98335121727;Discoteca Antilla  Salsa Barcelona;01.12.98 00:00;28.05.21 14:37;Aragó;141;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,29316E+15;4,5818E+15;4,13846E+15;2,15461E+15
﻿98335121727;Discoteca Antilla  Salsa Barcelona;01.12.98 00:00;28.05.21 14:37;Aragó;141;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,29316E+15;4,5818E+15;4,13846E+15;2,15461E+15
﻿98335121727;Discoteca Antilla  Salsa Barcelona;01.12.98 00:00;28.05.21 14:37;Aragó;141;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,29316E+15;4,5818E+15;4,13846E+15;2,15461E+15
﻿99400061927;Bar musical Bubblic Bar;02.10.03 11:34;17.09.22 06:04;C Marià Cubí;183;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8021;BARCELONA;4,28515E+16;4,583E+15;4,13954E+16;2,14489E+15
﻿97037210405;Discoteca Bembé;06.02.97 00:00;17.09.22 05:28;Viladomat;211;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28945E+14;4,58184E+15;4,1385E+15;2,15017E+16
﻿97037210405;Discoteca Bembé;06.02.97 00:00;17.09.22 05:28;Viladomat;211;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28945E+14;4,58184E+15;4,1385E+15;2,15017E+16
﻿99400533969;Restaurant Maná 75;18.09.17 13:04;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;101;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32063E+15;4,5803E+15;4,13713E+16;2,18763E+16
﻿99400533969;Restaurant Maná 75;18.09.17 13:04;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;101;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32063E+15;4,5803E+15;4,13713E+16;2,18763E+16
﻿99400533969;Restaurant Maná 75;18.09.17 13:04;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;101;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32063E+15;4,5803E+15;4,13713E+16;2,18763E+16
﻿99400533974;Restaurant Nº 30;18.09.17 13:16;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;30;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32105E+16;4,58115E+15;4,1379E+15;2,18804E+16
﻿99400533974;Restaurant Nº 30;18.09.17 13:16;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;30;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32105E+16;4,58115E+15;4,1379E+15;2,18804E+16
﻿99400533974;Restaurant Nº 30;18.09.17 13:16;28.05.21 14:38;Pg Joan Borbó Comte Barcelona;30;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32105E+16;4,58115E+15;4,1379E+15;2,18804E+16
﻿99400476312;Discoteca Hyde Club;23.01.17 14:27;17.09.22 08:49;Ptge Domingo;3;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,29987E+15;4,58269E+15;4,13927E+15;2,16253E+16
﻿99400608660;Restaurant The Alchemix;17.09.18 13:23;07.01.22 09:05;Carrer de València;212;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;Barcelona;4,29688E+16;4,58232E+15;4,13893E+15;2,159E+16
﻿99400608660;Restaurant The Alchemix;17.09.18 13:23;07.01.22 09:05;Carrer de València;212;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;Barcelona;4,29688E+16;4,58232E+15;4,13893E+15;2,159E+16
﻿99400608660;Restaurant The Alchemix;17.09.18 13:23;07.01.22 09:05;Carrer de València;212;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;Barcelona;4,29688E+16;4,58232E+15;4,13893E+15;2,159E+16
﻿99400236992;Banker's Bar;26.11.09 00:00;28.05.21 14:38;Pg Gràcia;38;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30331E+14;4,58252E+15;4,13912E+15;2,16666E+15
﻿99400236992;Banker's Bar;26.11.09 00:00;28.05.21 14:38;Pg Gràcia;38;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30331E+14;4,58252E+15;4,13912E+15;2,16666E+15
﻿99350182951;Discoteca Bachata Dance Club;16.12.99 00:00;17.09.22 05:55;C Casanova;171;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,28943E+14;4,58261E+16;4,13919E+15;2,15006E+16
﻿99400637878;Espai ClubHaus;30.09.19 15:14;28.05.21 14:38;Av Marquès de l'Argentera;13;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31819E+15;4,58176E+15;4,13844E+16;2,18454E+16
﻿99400637878;Espai ClubHaus;30.09.19 15:14;28.05.21 14:38;Av Marquès de l'Argentera;13;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31819E+15;4,58176E+15;4,13844E+16;2,18454E+16
﻿99400637878;Espai ClubHaus;30.09.19 15:14;28.05.21 14:38;Av Marquès de l'Argentera;13;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31819E+15;4,58176E+15;4,13844E+16;2,18454E+16
﻿99400594206;Restaurant Saraya Shisha Club;08.06.18 12:09;28.05.21 14:38;C Muntaner;102;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29513E+16;4,58225E+15;4,13887E+16;2,15692E+15
﻿99400594206;Restaurant Saraya Shisha Club;08.06.18 12:09;28.05.21 14:38;C Muntaner;102;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29513E+16;4,58225E+15;4,13887E+16;2,15692E+15
﻿99400594206;Restaurant Saraya Shisha Club;08.06.18 12:09;28.05.21 14:38;C Muntaner;102;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29513E+16;4,58225E+15;4,13887E+16;2,15692E+15
﻿99400450914;Restaurant La Robadora;23.05.16 12:08;28.05.21 14:38;C Robador;18;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30657E+15;4,58122E+15;4,13795E+15;2,17071E+15
﻿99400450914;Restaurant La Robadora;23.05.16 12:08;28.05.21 14:38;C Robador;18;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30657E+15;4,58122E+15;4,13795E+15;2,17071E+15
﻿99400450914;Restaurant La Robadora;23.05.16 12:08;28.05.21 14:38;C Robador;18;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30657E+15;4,58122E+15;4,13795E+15;2,17071E+15
﻿99400328189;Discoteca Sala Bloc;15.10.13 13:55;17.09.22 07:58;Rda Sant Pere;19;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,30946E+15;4,58234E+15;4,13896E+15;2,17405E+16
﻿99400096823;Bar Cocteleria 14 de la Rosa;30.09.04 13:49;28.05.21 14:37;C Martínez de la Rosa;14;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29761E+15;4,58343E+14;4,13993E+16;2,15974E+15
﻿99400096823;Bar Cocteleria 14 de la Rosa;30.09.04 13:49;28.05.21 14:37;C Martínez de la Rosa;14;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29761E+15;4,58343E+14;4,13993E+16;2,15974E+15
﻿99400079362;Bar Restaurant Copa Café;13.04.04 13:55;28.05.21 14:37;Av Gaudí;25;6;la Sagrada Família;2;Eixample;8025;BARCELONA;4,30982E+15;4,58414E+15;4,14058E+14;2,17427E+15
﻿99400079362;Bar Restaurant Copa Café;13.04.04 13:55;28.05.21 14:37;Av Gaudí;25;6;la Sagrada Família;2;Eixample;8025;BARCELONA;4,30982E+15;4,58414E+15;4,14058E+14;2,17427E+15
﻿99400079362;Bar Restaurant Copa Café;13.04.04 13:55;28.05.21 14:37;Av Gaudí;25;6;la Sagrada Família;2;Eixample;8025;BARCELONA;4,30982E+15;4,58414E+15;4,14058E+14;2,17427E+15
﻿99400370747;La Sonora de Gràcia;16.02.15 14:19;17.09.22 08:14;C Riera de Sant Miquel;59;31;la Vila de Gràcia;6;Gràcia;8006;BARCELONA;4,29364E+15;4,58334E+15;4,13985E+15;2,15501E+15
﻿99400149745;Cocteleria Mareva;21.12.05 09:45;28.05.21 14:37;C Aribau;54;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;BARCELONA;4,29769E+15;4,58218E+15;4,13881E+14;2,15998E+15
﻿99400149745;Cocteleria Mareva;21.12.05 09:45;28.05.21 14:37;C Aribau;54;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;BARCELONA;4,29769E+15;4,58218E+15;4,13881E+14;2,15998E+15
﻿99400466415;Restaurant El Mamón;28.09.16 13:24;28.05.21 14:38;Ptge Pere Calders;2;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,30001E+15;4,58085E+15;4,13761E+15;2,16291E+16
﻿99400466415;Restaurant El Mamón;28.09.16 13:24;28.05.21 14:38;Ptge Pere Calders;2;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,30001E+15;4,58085E+15;4,13761E+15;2,16291E+16
﻿99400466415;Restaurant El Mamón;28.09.16 13:24;28.05.21 14:38;Ptge Pere Calders;2;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,30001E+15;4,58085E+15;4,13761E+15;2,16291E+16
﻿99400119229;Sala The Club M7;16.06.05 14:41;17.09.22 06:26;C Mèxic;7;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,28772E+16;4,58052E+15;4,13731E+16;2,14825E+16
﻿99400574837;Restaurant Jok;19.01.18 09:18;11.02.22 11:36;C Mallorca;275;7;la Dreta de l'Eixample;2;Eixample;8008;BARCELONA;4,30079E+15;4,58292E+15;4,13948E+15;2,16361E+16
﻿99400574837;Restaurant Jok;19.01.18 09:18;11.02.22 11:36;C Mallorca;275;7;la Dreta de l'Eixample;2;Eixample;8008;BARCELONA;4,30079E+15;4,58292E+15;4,13948E+15;2,16361E+16
﻿99400574837;Restaurant Jok;19.01.18 09:18;11.02.22 11:36;C Mallorca;275;7;la Dreta de l'Eixample;2;Eixample;8008;BARCELONA;4,30079E+15;4,58292E+15;4,13948E+15;2,16361E+16
﻿99400676456;Bar Musical Sala Taro;16.09.21 08:45;16.09.21 08:46;Carrer de Rossend Arús;9;18;Sants;3;Sants-Montjuïc;8014;Barcelona;4,27865E+13;4,5806E+14;4,13737E+15;2,13741E+15
﻿75990169221;Bar Musical Club Mix;18.09.96 00:00;28.05.21 14:37;Comerç;21;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31652E+15;4,58198E+15;4,13865E+15;2,18253E+15
﻿75990169221;Bar Musical Club Mix;18.09.96 00:00;28.05.21 14:37;Comerç;21;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31652E+15;4,58198E+15;4,13865E+15;2,18253E+15
﻿75990169221;Bar Musical Club Mix;18.09.96 00:00;28.05.21 14:37;Comerç;21;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31652E+15;4,58198E+15;4,13865E+15;2,18253E+15
