register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086012269;Àrea de Joc Infantil a la Plaça de la Primavera;15.04.85 00:00;04.05.21 12:34;701587;Pl Primavera;8;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32171E+15;4,58855E+15;4,14457E+15;2,188E+16
﻿92086012270;Àrea de Joc Infantil a la Plaça Abat Escarré;15.04.85 00:00;04.05.21 12:33;700689;Pl Abat Escarré;9999;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32377E+15;4,58684E+15;4,14302E+15;2,19066E+15
﻿92086012280;Àrea de Joc Infantil a la Plaça Pastrana;16.04.85 00:00;04.05.21 12:34;247400;Pl Pastrana;1;;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,29454E+15;4,58634E+15;4,14255E+16;2,15573E+14
﻿92086012283;Àrea de Joc Infantil a Santuari - La Manxa;16.04.85 00:00;04.05.21 12:34;320307;C Santuari;81;;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,293E+15;4,58585E+15;4,14211E+15;2,15395E+16
﻿92086012286;Casal de Joves;25.10.85 00:00;17.09.22 04:20;363809;C Villarroel;81;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;BARCELONA;4,29585E+15;4,58176E+15;4,13843E+15;2,15783E+16
﻿92086009953;CRAI - Biblioteca;12.02.90 00:00;11.07.22 13:04;7258;C Martí i Franquès;2;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26346E+16;4,58179E+15;4,13842E+15;2,11909E+16
﻿92086009953;CRAI - Biblioteca;12.02.90 00:00;11.07.22 13:04;7258;C Martí i Franquès;2;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26346E+16;4,58179E+15;4,13842E+15;2,11909E+16
﻿75990061273;Discoteca Blue Boîte;18.09.96 00:00;17.09.22 02:49;144601;Av Diagonal;477;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,2858E+15;4,58272E+15;4,13928E+15;2,1457E+15
﻿92086011965;Àrea de Joc Infantil a Constitució - Mossèn Amadeu Oller;01.04.85 00:00;04.05.21 12:32;89707;C Constitució;110;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;4,27612E+15;4,58016E+14;4,13697E+15;2,13443E+15
﻿92086011989;Àrea de Joc Infantil a Cantabria - Andrade - Puigcerdà - Concili de Trento;02.04.85 00:00;04.05.21 12:32;60807;C Cantàbria;18;;73;la Verneda i la Pau;10;Sant Martí;8020;BARCELONA;4,33542E+15;4,58438E+14;4,14082E+16;2,20486E+15
