year;indicator;equipment;district_code;district_name;neighborhood_code;neighborhood_name;general_type;equipment_type;scope;latitude;longitude
2021;Visitants;Museu d'Art Contemporani de Barcelona. MACBA;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Arts visuals;41383145956;2167830774
2021;Visites_Exposicions_Temporals;Museu d'Art Contemporani de Barcelona. MACBA;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Arts visuals;41383145956;2167830774
2021;Fons_Colleccio;Museu d'Història de Barcelona. MUHBA;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41384316;2177521
2021;Num_Exposicions_Temporals;Museu d'Història de Barcelona. MUHBA;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41384316;2177521
2021;Visitants;Museu d'Història de Barcelona. MUHBA;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41384316;2177521
2021;Visites_Exposicions_Temporals;Museu d'Història de Barcelona. MUHBA;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41384316;2177521
2021;Fons_Colleccio;Museu d'Història de Catalunya;1;Ciutat Vella;3;la Barceloneta;Centres patrimonials;Museus i col·leccions;Història i memòria;41380668608;2185503480
2021;Num_Exposicions_Temporals;Museu d'Història de Catalunya;1;Ciutat Vella;3;la Barceloneta;Centres patrimonials;Museus i col·leccions;Història i memòria;41380668608;2185503480
2021;Visitants;Museu d'Història de Catalunya;1;Ciutat Vella;3;la Barceloneta;Centres patrimonials;Museus i col·leccions;Història i memòria;41380668608;2185503480
2021;Visites_Exposicions_Temporals;Museu d'Història de Catalunya;1;Ciutat Vella;3;la Barceloneta;Centres patrimonials;Museus i col·leccions;Història i memòria;41380668608;2185503480
2021;Visitants;Museu de Cera;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41377099024;2177442932
2021;Fons_Colleccio;Museu de Ciències Naturals de Barcelona. MCNB;10;Sant Martí;70;el Besòs i el Maresme;Centres patrimonials;Museus i col·leccions;Ciència;41410779883;2220482541
2021;Num_Exposicions_Temporals;Museu de Ciències Naturals de Barcelona. MCNB;10;Sant Martí;70;el Besòs i el Maresme;Centres patrimonials;Museus i col·leccions;Ciència;41410779883;2220482541
2021;Visitants;Museu de Ciències Naturals de Barcelona. MCNB;10;Sant Martí;70;el Besòs i el Maresme;Centres patrimonials;Museus i col·leccions;Ciència;41410779883;2220482541
2021;Visites_Exposicions_Temporals;Museu de Ciències Naturals de Barcelona. MCNB;10;Sant Martí;70;el Besòs i el Maresme;Centres patrimonials;Museus i col·leccions;Ciència;41410779883;2220482541
2021;Visitants;Museu de l'Eròtica;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41382282529;2172714946
2021;Num_Exposicions_Temporals;Museu de la Música;2;Eixample;5;el Fort Pienc;Centres patrimonials;Museus i col·leccions;Història i memòria;41398366625;2184867722
2021;Visitants;Museu de la Música;2;Eixample;5;el Fort Pienc;Centres patrimonials;Museus i col·leccions;Història i memòria;41398366625;2184867722
2021;Visites_Exposicions_Temporals;Museu de la Música;2;Eixample;5;el Fort Pienc;Centres patrimonials;Museus i col·leccions;Història i memòria;41398366625;2184867722
2021;Visitants;Museu de la Xocolata;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Història i memòria;41387387733;2181708405
2021;Fons_Colleccio;Museu del Disseny de Barcelona;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;4,14025E+14;2,18807E+16
2021;Num_Exposicions_Temporals;Museu del Disseny de Barcelona;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;4,14025E+14;2,18807E+16
2021;Visitants;Museu del Disseny de Barcelona;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;4,14025E+14;2,18807E+16
2021;Visites_Exposicions_Temporals;Museu del Disseny de Barcelona;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;4,14025E+14;2,18807E+16
2021;Visitants;Museu del Futbol Club Barcelona;4;Les Corts;20;la Maternitat i Sant Ramon;Centres patrimonials;Museus i col·leccions;Història i memòria;41379059282;2120267204
2021;Visitants;Museu dels Autòmats del Tibidabo;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Centres patrimonials;Museus i col·leccions;Història i memòria;4142174827;211979347
2021;Fons_Colleccio;Museu Egipci de Barcelona;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Història i memòria;41393626242;2164736478
2021;Num_Exposicions_Temporals;Museu Egipci de Barcelona;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Història i memòria;41393626242;2164736478
2021;Visitants;Museu Egipci de Barcelona;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Història i memòria;41393626242;2164736478
2021;Visites_Exposicions_Temporals;Museu Egipci de Barcelona;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Història i memòria;41393626242;2164736478
2021;Fons_Colleccio;Museu Etnològic i de Cultures del Món;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41369062110;2155983304
2021;Num_Exposicions_Temporals;Museu Etnològic i de Cultures del Món;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41369062110;2155983304
2021;Visitants;Museu Etnològic i de Cultures del Món;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41369062110;2155983304
2021;Visites_Exposicions_Temporals;Museu Etnològic i de Cultures del Món;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41369062110;2155983304
2021;Visitants;Museu Europeu d'Art Modern. MEAM;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;41384912046;2180305787
2021;Fons_Colleccio;Museu Frederic Marès;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Arts visuals;41384173998;2176939205
2021;Num_Exposicions_Temporals;Museu Frederic Marès;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Arts visuals;41384173998;2176939205
2021;Visitants;Museu Frederic Marès;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Arts visuals;41384173998;2176939205
