Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,Visitants,"KBr Fundación MAPFRE",60290,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.388415,2.1960494
2021,Visites_Exposicions_Temporals,"KBr Fundación MAPFRE",60290,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.388415,2.1960494
2021,Visitants,L'Aquàrium,692754,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions",Ciència,41.376477557,2.184560919
2021,Num_Exposicions_Temporals,"La Capella",4,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.381057326,2.169793857
2021,Visitants,"La Capella",27299,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.381057326,2.169793857
2021,Visites_Exposicions_Temporals,"La Capella",27299,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.381057326,2.169793857
2021,Num_Exposicions_Temporals,"La Model",4,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",,
2021,Visitants,"La Model",21648,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",,
2021,Visitants,"La Pedrera",198460,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Espais d'interès patrimonial","Arts visuals",41.395316302,2.162043384
2021,Num_Exposicions_Temporals,"La Virreina Centre de la Imatge",16,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.382498322,2.171708630
2021,Visitants,"La Virreina Centre de la Imatge",75508,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.382498322,2.171708630
2021,Visites_Exposicions_Temporals,"La Virreina Centre de la Imatge",83863,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.382498322,2.171708630
2021,Fons_Colleccio,"Museu d'Arqueologia de Catalunya",52513,,,03,Sants-Montjuïc,11,"el Poble Sec","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.370153865,2.157646024
2021,Num_Exposicions_Temporals,"Museu d'Arqueologia de Catalunya",1,,,03,Sants-Montjuïc,11,"el Poble Sec","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.370153865,2.157646024
2021,Visitants,"Museu d'Arqueologia de Catalunya",33269,,,03,Sants-Montjuïc,11,"el Poble Sec","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.370153865,2.157646024
2021,Visites_Exposicions_Temporals,"Museu d'Arqueologia de Catalunya",29851,,,03,Sants-Montjuïc,11,"el Poble Sec","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.370153865,2.157646024
2021,Fons_Colleccio,"Museu d'Art Contemporani de Barcelona. MACBA",5733,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.383145956,2.167830774
2021,Num_Exposicions_Temporals,"Museu d'Art Contemporani de Barcelona. MACBA",11,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.383145956,2.167830774
2021,Visitants,"Museu d'Art Contemporani de Barcelona. MACBA",194565,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.383145956,2.167830774
2021,Visites_Exposicions_Temporals,"Museu d'Art Contemporani de Barcelona. MACBA",273344,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.383145956,2.167830774
2021,Fons_Colleccio,"Museu d'Història de Barcelona. MUHBA",83678,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.384316,2.177521
2021,Num_Exposicions_Temporals,"Museu d'Història de Barcelona. MUHBA",5,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.384316,2.177521
2021,Visitants,"Museu d'Història de Barcelona. MUHBA",310098,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.384316,2.177521
2021,Visites_Exposicions_Temporals,"Museu d'Història de Barcelona. MUHBA",54618,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.384316,2.177521
2021,Fons_Colleccio,"Museu d'Història de Catalunya",15550,,,01,"Ciutat Vella",03,"la Barceloneta","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.380668608,2.185503480
2021,Num_Exposicions_Temporals,"Museu d'Història de Catalunya",2,,,01,"Ciutat Vella",03,"la Barceloneta","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.380668608,2.185503480
2021,Visitants,"Museu d'Història de Catalunya",47934,,,01,"Ciutat Vella",03,"la Barceloneta","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.380668608,2.185503480
2021,Visites_Exposicions_Temporals,"Museu d'Història de Catalunya",1401,,,01,"Ciutat Vella",03,"la Barceloneta","Pública no municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.380668608,2.185503480
2021,Visitants,"Museu de Cera",71513,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.377099024,2.177442932
2021,Fons_Colleccio,"Museu de Ciències Naturals de Barcelona. MCNB",3181393,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions",Ciència,41.410779883,2.220482541
2021,Num_Exposicions_Temporals,"Museu de Ciències Naturals de Barcelona. MCNB",3,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions",Ciència,41.410779883,2.220482541
2021,Visitants,"Museu de Ciències Naturals de Barcelona. MCNB",186638,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions",Ciència,41.410779883,2.220482541
2021,Visites_Exposicions_Temporals,"Museu de Ciències Naturals de Barcelona. MCNB",76760,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions",Ciència,41.410779883,2.220482541
2021,Visitants,"Museu de l'Eròtica",43600,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.382282529,2.172714946
2021,Num_Exposicions_Temporals,"Museu de la Música",4,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2021,Visitants,"Museu de la Música",22392,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2021,Visites_Exposicions_Temporals,"Museu de la Música",46373,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
