register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400236720;Biblioteca Zona Nord;24.11.09 12:55;07.12.22 13:47;Carrer de Vallcivera;3;54;Torre Baró;8;Nou Barris;8033;Barcelona;4,31511E+15;4,59029E+14;4,14613E+15;2,17989E+14
﻿99400236720;Biblioteca Zona Nord;24.11.09 12:55;07.12.22 13:47;Carrer de Vallcivera;3;54;Torre Baró;8;Nou Barris;8033;Barcelona;4,31511E+15;4,59029E+14;4,14613E+15;2,17989E+14
﻿99400236720;Biblioteca Zona Nord;24.11.09 12:55;07.12.22 13:47;Carrer de Vallcivera;3;54;Torre Baró;8;Nou Barris;8033;Barcelona;4,31511E+15;4,59029E+14;4,14613E+15;2,17989E+14
﻿99400287783;Biblioteca Trinitat Vella - J. Barbero;09.03.12 09:24;07.12.22 13:57;Carrer de Galícia;16;57;la Trinitat Vella;9;Sant Andreu;8033;Barcelona;4,32406E+16;4,58895E+14;4,14493E+15;2,19077E+16
﻿99400287783;Biblioteca Trinitat Vella - J. Barbero;09.03.12 09:24;07.12.22 13:57;Carrer de Galícia;16;57;la Trinitat Vella;9;Sant Andreu;8033;Barcelona;4,32406E+16;4,58895E+14;4,14493E+15;2,19077E+16
﻿99400287783;Biblioteca Trinitat Vella - J. Barbero;09.03.12 09:24;07.12.22 13:57;Carrer de Galícia;16;57;la Trinitat Vella;9;Sant Andreu;8033;Barcelona;4,32406E+16;4,58895E+14;4,14493E+15;2,19077E+16
﻿99400159253;Biblioteca de Comerç i Turisme;17.05.06 12:56;17.09.22 06:36;Pg Gràcia;105;7;la Dreta de l'Eixample;2;Eixample;8008;BARCELONA;4,29762E+15;4,58305E+15;4,13959E+16;2,1598E+16
﻿92086001112;Biblioteca;20.05.86 00:00;17.09.22 03:47;C Bisbe Caçador;3;2;el Barri Gòtic;1;Ciutat Vella;8002;BARCELONA;4,31336E+15;4,58162E+15;4,13832E+15;2,17879E+16
﻿97063160238;Centre de Documentació Begoña Raventós -Biblioteca;04.03.97 00:00;17.09.22 05:28;C Comte Borrell;201;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,29116E+16;4,58184E+15;4,1385E+15;2,15221E+15
﻿99081114412;Biblioteca;22.03.99 00:00;17.09.22 05:49;C Comte d'Urgell;187;9;la Nova Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,28729E+16;4,58221E+15;4,13883E+15;2,14754E+15
﻿97044191228;Biblioteca;13.02.97 00:00;17.09.22 05:28;C Santaló;37;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8021;BARCELONA;4,28589E+15;4,58302E+15;4,13956E+15;2,14577E+16
﻿92086003038;Biblioteca;16.05.86 00:00;17.09.22 03:52;Ptge Mulet;4;27;el Putxet i el Farró;5;Sarrià-Sant Gervasi;8006;BARCELONA;4,28893E+15;4,58376E+15;4,14022E+16;2,14932E+16
﻿98030094836;Biblioteca;30.01.98 00:00;17.09.22 05:37;C Astúries;83;31;la Vila de Gràcia;6;Gràcia;8024;BARCELONA;4,29489E+15;4,58403E+15;4,14047E+15;2,15642E+16
﻿96116100715;Arxiu Municipal del Districte de Sants-Montjuïc;25.04.96 00:00;03.11.22 09:17;Carrer de la Creu Coberta;104;15;Hostafrancs;3;Sants-Montjuïc;8014;Barcelona;4,28274E+15;4,58079E+14;4,13754E+14;2,14227E+16
﻿92086002014;CRAI - Biblioteca de Recerca Fabià Estapé;16.05.86 00:00;11.07.22 12:59;Av Diagonal;690;21;Pedralbes;4;Les Corts;8034;BARCELONA;4,26003E+15;4,58195E+15;4,13857E+16;2,11497E+15
