id;name;created;modified;core_type;core_type_name;district_id;district_name;neighborhood_id;neighborhood_name;addresses_road_name;addresses_start_street_number;addresses_end_street_number;addresses_town;geo_imi_x;geo_imi_y;values_value
﻿95124132926;Centre Cívic Can Basté;04.05.95 00:00;21.06.22 10:15;place;Equipament;8;Nou Barris;46;el Turó de la Peira;Passeig de Fabra i Puig;274;;Barcelona;3,10162E+16;8,70814E+15;934206651
﻿95124132926;Centre Cívic Can Basté;04.05.95 00:00;21.06.22 10:15;place;Equipament;8;Nou Barris;46;el Turó de la Peira;Passeig de Fabra i Puig;274;;Barcelona;3,10162E+16;8,70814E+15;934206651
﻿95124132926;Centre Cívic Can Basté;04.05.95 00:00;21.06.22 10:15;place;Equipament;8;Nou Barris;46;el Turó de la Peira;Passeig de Fabra i Puig;274;;Barcelona;3,10162E+16;8,70814E+15;934206651
﻿1081085606;Escola Superior de Música de Catalunya;22.03.01 00:00;17.09.22 02:22;place;Equipament;2;Eixample;5;el Fort Pienc;C Padilla;155;;BARCELONA;3,19796E+15;8,3551E+15;933523011
﻿1081085606;Escola Superior de Música de Catalunya;22.03.01 00:00;17.09.22 02:22;place;Equipament;2;Eixample;5;el Fort Pienc;C Padilla;155;;BARCELONA;3,19796E+15;8,3551E+15;933523011
﻿1081085606;Escola Superior de Música de Catalunya;22.03.01 00:00;17.09.22 02:22;place;Equipament;2;Eixample;5;el Fort Pienc;C Padilla;155;;BARCELONA;3,19796E+15;8,3551E+15;933523011
﻿1310145333;OikoCrèdit Catalunya;06.11.01 00:00;17.09.22 02:31;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;C Casp;43;;BARCELONA;3,10455E+14;8,28126E+15;934416306
﻿1310145333;OikoCrèdit Catalunya;06.11.01 00:00;17.09.22 02:31;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;C Casp;43;;BARCELONA;3,10455E+14;8,28126E+15;934416306
﻿1310145333;OikoCrèdit Catalunya;06.11.01 00:00;17.09.22 02:31;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;C Casp;43;;BARCELONA;3,10455E+14;8,28126E+15;934416306
﻿99400477410;"Xemeneia de l'antiga Fábrica ""La Porcelana""";08.02.17 09:07;17.09.22 08:51;place;Equipament;3;Sants-Montjuïc;15;Hostafrancs;Pl Joan Corrades;1;;BARCELONA;2,85547E+15;8,07255E+15;
﻿99400477410;"Xemeneia de l'antiga Fábrica ""La Porcelana""";08.02.17 09:07;17.09.22 08:51;place;Equipament;3;Sants-Montjuïc;15;Hostafrancs;Pl Joan Corrades;1;;BARCELONA;2,85547E+15;8,07255E+15;
﻿99400477410;"Xemeneia de l'antiga Fábrica ""La Porcelana""";08.02.17 09:07;17.09.22 08:51;place;Equipament;3;Sants-Montjuïc;15;Hostafrancs;Pl Joan Corrades;1;;BARCELONA;2,85547E+15;8,07255E+15;
﻿99400387295;L'avinguda del Tibidabo;25.05.15 14:19;26.04.22 11:35;place;Equipament;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Av Tibidabo;4;;BARCELONA;2,79686E+16;8,48958E+15;
﻿99400387295;L'avinguda del Tibidabo;25.05.15 14:19;26.04.22 11:35;place;Equipament;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Av Tibidabo;4;;BARCELONA;2,79686E+16;8,48958E+15;
﻿99400387295;L'avinguda del Tibidabo;25.05.15 14:19;26.04.22 11:35;place;Equipament;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Av Tibidabo;4;;BARCELONA;2,79686E+16;8,48958E+15;
﻿99400387306;El Passeig de Gràcia;25.05.15 15:30;21.09.22 13:18;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Pg Gràcia;80;;BARCELONA;3,01391E+16;8,30382E+15;
﻿99400387306;El Passeig de Gràcia;25.05.15 15:30;21.09.22 13:18;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Pg Gràcia;80;;BARCELONA;3,01391E+16;8,30382E+15;
﻿99400387306;El Passeig de Gràcia;25.05.15 15:30;21.09.22 13:18;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Pg Gràcia;80;;BARCELONA;3,01391E+16;8,30382E+15;
﻿99400477550;Casernes d'Artilleria  de Sant Andreu;09.02.17 11:45;09.09.21 02:16;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Torras i Bages;141;;BARCELONA;3,24736E+15;8,85633E+15;
﻿99400477550;Casernes d'Artilleria  de Sant Andreu;09.02.17 11:45;09.09.21 02:16;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Torras i Bages;141;;BARCELONA;3,24736E+15;8,85633E+15;
﻿99400477550;Casernes d'Artilleria  de Sant Andreu;09.02.17 11:45;09.09.21 02:16;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Torras i Bages;141;;BARCELONA;3,24736E+15;8,85633E+15;
﻿99400477553;L'Estació dels FGC de Sarrià;09.02.17 12:05;09.09.21 02:16;place;Equipament;5;Sarrià-Sant Gervasi;23;Sarrià;C Cardenal Sentmenat;43;;BARCELONA;2,69509E+16;8,35466E+15;
﻿99400477553;L'Estació dels FGC de Sarrià;09.02.17 12:05;09.09.21 02:16;place;Equipament;5;Sarrià-Sant Gervasi;23;Sarrià;C Cardenal Sentmenat;43;;BARCELONA;2,69509E+16;8,35466E+15;
﻿99400477553;L'Estació dels FGC de Sarrià;09.02.17 12:05;09.09.21 02:16;place;Equipament;5;Sarrià-Sant Gervasi;23;Sarrià;C Cardenal Sentmenat;43;;BARCELONA;2,69509E+16;8,35466E+15;
﻿99400191003;Parc de la Primavera;26.09.07 11:08;23.11.22 12:39;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;C Nou de la Rambla;203;;BARCELONA;3,03339E+16;8,04236E+14;010
﻿99400191003;Parc de la Primavera;26.09.07 11:08;23.11.22 12:39;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;C Nou de la Rambla;203;;BARCELONA;3,03339E+16;8,04236E+14;010
﻿99400191003;Parc de la Primavera;26.09.07 11:08;23.11.22 12:39;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;C Nou de la Rambla;203;;BARCELONA;3,03339E+16;8,04236E+14;010
