register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400452847;Jardins de la Plaça Gaudi;13.06.16 12:50;23.11.22 12:39;142355;Pl Gaudí;1;;6;la Sagrada Família;2;Eixample;8013;BARCELONA;4,31087E+16;4,58405E+15;4,14051E+14;2,17553E+16
﻿99400594260;Jardins d'Elisava;08.06.18 14:26;23.11.22 12:39;29206;C Àvila;171;;66;el Parc i la Llacuna del Poblenou;10;Sant Martí;8018;BARCELONA;4,32187E+15;4,58369E+15;4,14019E+16;2,18874E+16
﻿99400385111;Jardí de Maria Teresa Vernet i Real;30.04.15 12:49;23.11.22 12:39;257200;C Pintor Tapiró;14;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26331E+16;4,58106E+15;4,13777E+14;2,119E+15
﻿99400092552;Viver Municipal de Plantes Tres Pins;19.07.04 14:12;23.11.22 12:39;213307;Av Miramar;2;;11;el Poble-sec;3;Sants-Montjuïc;8038;BARCELONA;4,29831E+15;4,57998E+15;4,13683E+16;2,16098E+15
﻿99400036180;Jardins de Joan Brossa;21.03.03 11:14;23.11.22 12:39;97705;Plaça de Dante;9999;9999;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;430168733;4580020648;4,13687E+15;2,16501E+16
﻿99400514880;Jardí Interior de la Casa de la Misericòrdia;28.06.17 10:04;23.11.22 12:39;274006;Carrer de les Ramelleres;17;;1;el Raval;1;Ciutat Vella;8001;Barcelona;4,30489E+16;4,58175E+15;4,13843E+15;2,16864E+16
﻿99400514880;Jardí Interior de la Casa de la Misericòrdia;28.06.17 10:04;23.11.22 12:39;274006;Carrer de les Ramelleres;17;;1;el Raval;1;Ciutat Vella;8001;Barcelona;4,30489E+16;4,58175E+15;4,13843E+15;2,16864E+16
﻿99400265873;Jardins dels Setze Jutges;09.03.11 13:57;23.11.22 12:39;28000;Via Augusta;356;;23;Sarrià;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,26661E+15;4,58369E+15;4,14014E+15;2,12263E+15
﻿99400194129;Interior d'Illa Jardins de Maria Matilde Almendros;30.10.07 12:54;23.11.22 12:39;54509;Carrer de Calàbria;90;92;10;Sant Antoni;2;Eixample;8015;Barcelona;4,29432E+13;4,58119E+14;4,13791E+15;2,15607E+16
﻿99400194129;Interior d'Illa Jardins de Maria Matilde Almendros;30.10.07 12:54;23.11.22 12:39;54509;Carrer de Calàbria;90;92;10;Sant Antoni;2;Eixample;8015;Barcelona;4,29432E+13;4,58119E+14;4,13791E+15;2,15607E+16
﻿99400605788;Parc Antoni Santiburcio;09.08.18 14:10;23.11.22 12:39;296202;C Gran de Sant Andreu;484;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32223E+15;4,58841E+15;4,14444E+16;2,18864E+15
﻿99400191003;Parc de la Primavera;26.09.07 11:08;23.11.22 12:39;86902;C Nou de la Rambla;203;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,30239E+15;4,58022E+15;4,13705E+16;2,16583E+16
﻿99400660920;Interior d'Illa Àntics Cinema Niza;09.12.20 11:16;23.11.22 12:39;292201;Plaça de la Sagrada Família;12;;6;la Sagrada Família;2;Eixample;8025;Barcelona;4,30844E+16;4,58386E+14;4,14033E+15;2,17265E+14
﻿99400660920;Interior d'Illa Àntics Cinema Niza;09.12.20 11:16;23.11.22 12:39;292201;Plaça de la Sagrada Família;12;;6;la Sagrada Família;2;Eixample;8025;Barcelona;4,30844E+16;4,58386E+14;4,14033E+15;2,17265E+14
﻿99400661060;Interior d'Illa Àntic Cinema Novedades;10.12.20 16:42;23.11.22 12:39;71600;Carrer de Casp;1;1;7;la Dreta de l'Eixample;2;Eixample;8010;Barcelona;4,30607E+13;4,58227E+15;4,1389E+15;2,17E+16
﻿99400661060;Interior d'Illa Àntic Cinema Novedades;10.12.20 16:42;23.11.22 12:39;71600;Carrer de Casp;1;1;7;la Dreta de l'Eixample;2;Eixample;8010;Barcelona;4,30607E+13;4,58227E+15;4,1389E+15;2,17E+16
﻿99400679280;Jardins Interior d'Illa de l’antic Cinema Urgell;11.11.21 14:37;23.11.22 12:39;349706;Carrer del Comte d'Urgell;31;31;10;Sant Antoni;2;Eixample;8011;Barcelona;4,29792E+13;4,58135E+14;4,13806E+15;2,16036E+15
﻿99400679280;Jardins Interior d'Illa de l’antic Cinema Urgell;11.11.21 14:37;23.11.22 12:39;349706;Carrer del Comte d'Urgell;31;31;10;Sant Antoni;2;Eixample;8011;Barcelona;4,29792E+13;4,58135E+14;4,13806E+15;2,16036E+15
﻿99400365326;Jardins Interiors d'Illa Anaïs Napoleon;10.12.14 11:24;23.11.22 12:39;197302;Carrer de la Marina;155;;5;el Fort Pienc;2;Eixample;8013;Barcelona;4,31605E+15;4,58331E+15;4,13984E+16;2,18181E+16
﻿99400365326;Jardins Interiors d'Illa Anaïs Napoleon;10.12.14 11:24;23.11.22 12:39;197302;Carrer de la Marina;155;;5;el Fort Pienc;2;Eixample;8013;Barcelona;4,31605E+15;4,58331E+15;4,13984E+16;2,18181E+16
﻿99400354567;Jardins de Jaume Vicens Vives;01.10.14 16:24;23.11.22 12:39;144601;Av Diagonal;635;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26756E+16;4,5821E+15;4,13871E+16;2,12396E+15
﻿99400686182;Parc de l'Aqüeducte de Ciutat Meridiana;17.02.22 11:29;23.11.22 12:39;275600;Avinguda dels Rasos de Peguera;51;55;55;Ciutat Meridiana;8;Nou Barris;8033;Barcelona;431104474;459009774;4,14595E+15;2,17505E+16
﻿99400263163;Jardins Interior d'Illa de Maria Manonelles;18.01.11 14:12;23.11.22 12:39;54509;Carrer de Calàbria;38;;10;Sant Antoni;2;Eixample;8015;Barcelona;4,29697E+16;4,58091E+15;4,13767E+15;2,15927E+16
﻿99400263163;Jardins Interior d'Illa de Maria Manonelles;18.01.11 14:12;23.11.22 12:39;54509;Carrer de Calàbria;38;;10;Sant Antoni;2;Eixample;8015;Barcelona;4,29697E+16;4,58091E+15;4,13767E+15;2,15927E+16
﻿99400344074;Jardins del Doctor Duran i Reynals;02.06.14 14:35;23.11.22 12:39;70607;C Casanova;145;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29185E+15;4,58241E+15;4,13901E+15;2,15297E+16
