register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿1281145134;Teatre;08.10.01 00:00;17.09.22 02:28;Via Augusta;205;;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8021;BARCELONA;4,28016E+16;4,58326E+15;4,13977E+15;2,1389E+16
﻿99400267342;Arenas Multicines 3D *Arenas de Barcelona;25.03.11 11:50;17.09.22 07:34;G.V. Corts Catalanes;373;;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,28919E+14;4,58085E+15;4,1376E+16;2,14998E+16
﻿99400331613;Cinema Balmes Multicine;10.12.13 10:10;19.07.21 14:07;Carrer de Balmes;422;;27;el Putxet i el Farró;5;Sarrià-Sant Gervasi;8022;Barcelona;4,28005E+15;4,58432E+14;4,14072E+15;2,13863E+16
﻿92086001479;Teatre Centre Sant Pere Apóstol;31.01.85 00:00;03.03.21 22:15;C Sant Pere Més Alt;25;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31134E+15;4,58218E+15;4,13882E+15;2,1763E+15
﻿92086012748;Sala de Cinema;28.06.88 00:00;17.09.22 04:22;C Portlligat;11;;53;la Trinitat Nova;8;Nou Barris;8042;BARCELONA;4,31421E+15;4,589E+16;4,14496E+15;2,17897E+16
﻿81155758;Auditori;21.03.00 00:00;17.09.22 02:15;C Baldiri Reixac;4;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26147E+15;4,58152E+15;4,13818E+15;2,11675E+16
﻿96143183229;Sala Maria Aurèlia Capmany;22.05.96 00:00;17.09.22 05:21;Lleida;59;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29523E+16;4,58023E+15;4,13705E+16;2,15727E+15
﻿96143183229;Sala Maria Aurèlia Capmany;22.05.96 00:00;17.09.22 05:21;Lleida;59;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29523E+16;4,58023E+15;4,13705E+16;2,15727E+15
﻿1179141110;Teatre;28.06.01 00:00;17.09.22 02:23;C Constitució;17;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;4,27894E+14;4,58017E+15;4,13698E+15;2,1378E+16
﻿99400063278;Auditori;16.10.03 12:38;17.09.22 06:05;Pl Àngels;1;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30421E+15;4,58163E+14;4,13832E+16;2,16785E+16
