year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;3;Sants-Montjuïc;18;Sants;Women;Algèria;25
2022;4;Les Corts;19;les Corts;Women;Algèria;17
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Algèria;8
2022;4;Les Corts;21;Pedralbes;Women;Algèria;16
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Algèria;0
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Algèria;15
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Algèria;4
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Algèria;6
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Algèria;7
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Algèria;3
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Algèria;1
2022;6;Gràcia;29;el Coll;Women;Algèria;1
2022;6;Gràcia;30;la Salut;Women;Algèria;2
2022;6;Gràcia;31;la Vila de Gràcia;Women;Algèria;12
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Algèria;9
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Algèria;4
2022;7;Horta-Guinardó;34;Can Baró;Women;Algèria;2
2022;7;Horta-Guinardó;35;el Guinardó;Women;Algèria;7
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Algèria;0
2022;7;Horta-Guinardó;37;el Carmel;Women;Algèria;17
2022;7;Horta-Guinardó;38;la Teixonera;Women;Algèria;5
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Algèria;6
2022;7;Horta-Guinardó;40;Montbau;Women;Algèria;6
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Algèria;0
2022;7;Horta-Guinardó;42;la Clota;Women;Algèria;2
2022;7;Horta-Guinardó;43;Horta;Women;Algèria;11
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Algèria;0
2022;8;Nou Barris;45;Porta;Women;Algèria;16
2022;8;Nou Barris;46;el Turó de la Peira;Women;Algèria;14
2022;8;Nou Barris;47;Can Peguera;Women;Algèria;0
2022;8;Nou Barris;48;la Guineueta;Women;Algèria;0
2022;8;Nou Barris;49;Canyelles;Women;Algèria;2
2022;8;Nou Barris;50;les Roquetes;Women;Algèria;4
2022;8;Nou Barris;51;Verdun;Women;Algèria;6
2022;8;Nou Barris;52;la Prosperitat;Women;Algèria;9
2022;8;Nou Barris;53;la Trinitat Nova;Women;Algèria;4
2022;8;Nou Barris;54;Torre Baró;Women;Algèria;2
2022;8;Nou Barris;55;Ciutat Meridiana;Women;Algèria;11
2022;8;Nou Barris;56;Vallbona;Women;Algèria;1
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Algèria;9
2022;9;Sant Andreu;58;Baró de Viver;Women;Algèria;8
2022;9;Sant Andreu;59;el Bon Pastor;Women;Algèria;4
2022;9;Sant Andreu;60;Sant Andreu;Women;Algèria;18
2022;9;Sant Andreu;61;la Sagrera;Women;Algèria;4
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Algèria;0
2022;9;Sant Andreu;63;Navas;Women;Algèria;11
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Algèria;8
2022;10;Sant Martí;65;el Clot;Women;Algèria;9
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Algèria;4
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Algèria;1
2022;10;Sant Martí;68;el Poblenou;Women;Algèria;3
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Algèria;11
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Algèria;24
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Algèria;17
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Algèria;3
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Algèria;2
2022;1;Ciutat Vella;1;el Raval;Men;Algèria;164
2022;1;Ciutat Vella;2;el Barri Gòtic;Men;Algèria;143
2022;1;Ciutat Vella;3;la Barceloneta;Men;Algèria;40
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Men;Algèria;76
2022;2;Eixample;5;el Fort Pienc;Men;Algèria;26
2022;2;Eixample;6;la Sagrada Família;Men;Algèria;20
2022;2;Eixample;7;la Dreta de l'Eixample;Men;Algèria;18
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Men;Algèria;13
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Men;Algèria;30
2022;2;Eixample;10;Sant Antoni;Men;Algèria;28
2022;3;Sants-Montjuïc;11;el Poble Sec;Men;Algèria;74
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Men;Algèria;2
2022;3;Sants-Montjuïc;13;la Marina de Port;Men;Algèria;27
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Men;Algèria;7
2022;3;Sants-Montjuïc;15;Hostafrancs;Men;Algèria;30
2022;3;Sants-Montjuïc;16;la Bordeta;Men;Algèria;11
2022;3;Sants-Montjuïc;17;Sants - Badal;Men;Algèria;16
2022;3;Sants-Montjuïc;18;Sants;Men;Algèria;51
2022;4;Les Corts;19;les Corts;Men;Algèria;19
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Men;Algèria;9
2022;4;Les Corts;21;Pedralbes;Men;Algèria;17
